-0.50	0.358	0.084	-0.096
-0.25	0.386	0.084	-0.097
0.00	0.414	0.084	-0.098
0.23	0.443	0.084	-0.100
0.47	0.472	0.084	-0.101
0.70	0.500	0.084	-0.102
0.94	0.529	0.084	-0.103
1.17	0.557	0.084	-0.104
1.40	0.585	0.084	-0.105
1.64	0.614	0.084	-0.106
1.87	0.642	0.084	-0.107
2.11	0.670	0.084	-0.108
2.34	0.698	0.084	-0.109
2.57	0.725	0.084	-0.110
2.81	0.753	0.084	-0.111
3.04	0.781	0.085	-0.112
3.28	0.808	0.085	-0.113
3.51	0.836	0.085	-0.114
3.74	0.863	0.085	-0.115
3.98	0.890	0.085	-0.115
4.21	0.917	0.085	-0.116
4.45	0.944	0.085	-0.117
4.68	0.971	0.085	-0.118
4.91	0.998	0.085	-0.119
5.15	1.025	0.085	-0.119
5.38	1.052	0.085	-0.120
5.62	1.078	0.085	-0.121
5.85	1.104	0.085	-0.121
6.08	1.130	0.086	-0.122
6.32	1.156	0.086	-0.122
6.55	1.182	0.086	-0.123
6.79	1.208	0.086	-0.124
7.02	1.233	0.086	-0.124
7.25	1.259	0.086	-0.125
7.49	1.284	0.086	-0.125
7.72	1.309	0.086	-0.125
7.96	1.333	0.087	-0.126
8.19	1.357	0.087	-0.126
8.42	1.381	0.087	-0.126
8.66	1.405	0.087	-0.127
8.89	1.430	0.087	-0.127
9.12	1.453	0.087	-0.127
9.88	1.515	0.088	-0.127
10.64	1.575	0.089	-0.126
11.40	1.615	0.090	-0.121
12.15	1.644	0.091	-0.116
12.91	1.682	0.093	-0.113
13.67	1.715	0.095	-0.111
14.42	1.736	0.099	-0.108
15.18	1.763	0.102	-0.106
15.94	1.771	0.108	-0.104
16.69	1.764	0.114	-0.103
17.45	1.760	0.121	-0.101
18.21	1.725	0.131	-0.100
18.97	1.704	0.140	-0.100
19.72	1.678	0.149	-0.100
20.48	1.651	0.159	-0.102
21.24	1.623	0.169	-0.104
21.99	1.607	0.178	-0.106
22.75	1.597	0.186	-0.110
23.51	1.589	0.194	-0.114
24.26	1.582	0.201	-0.118
25.02	1.556	0.214	-0.125
25.78	1.527	0.227	-0.133
26.53	1.498	0.240	-0.140
27.29	1.469	0.253	-0.148
28.05	1.440	0.266	-0.155
28.81	1.411	0.280	-0.163
29.56	1.382	0.293	-0.170
30.32	1.362	0.308	-0.174
31.08	1.342	0.323	-0.178
31.83	1.323	0.338	-0.182
32.59	1.303	0.353	-0.185
33.35	1.283	0.368	-0.189
34.10	1.263	0.384	-0.193
34.86	1.243	0.399	-0.196
35.62	1.223	0.414	-0.200
36.38	1.204	0.429	-0.204
37.13	1.184	0.444	-0.208
37.89	1.164	0.459	-0.211
38.65	1.144	0.474	-0.215
39.40	1.124	0.490	-0.219
40.16	1.106	0.505	-0.222
40.92	1.091	0.521	-0.224
41.67	1.075	0.538	-0.227
42.43	1.059	0.554	-0.229
43.19	1.043	0.570	-0.231
43.94	1.027	0.586	-0.234
44.70	1.011	0.603	-0.236
45.46	0.995	0.619	-0.238
46.22	0.979	0.635	-0.241
46.97	0.963	0.651	-0.243
47.73	0.947	0.668	-0.246
48.49	0.931	0.684	-0.248
49.24	0.915	0.700	-0.250
50.00	0.899	0.716	-0.253
60.00	0.684	0.925	-0.283
70.00	0.456	1.099	-0.316
80.00	0.222	1.218	-0.348
90.00	0.000	1.271	-0.377
100.00	-0.155	1.218	-0.388
110.00	-0.319	1.099	-0.387
120.00	-0.478	0.925	-0.381
130.00	-0.629	0.716	-0.380
140.00	-0.780	0.497	-0.403
150.00	-0.967	0.293	-0.485
160.00	-0.884	0.127	-0.533
170.00	-0.442	0.084	-0.391
180.00	0.000	0.084	0.000





